Day,Month,Year,Sample_DOY,Plot,Heat_Treatment,Genus,Species,Miscellaneous,Subspecies,Other,Prev_names,Mass_g_per_m2,lbs_per_acre
22,8,2007,234,29,Control,,NA,Unsorted biomass,NA,NA,NA,150.53,1313.9763699999999
24,8,2007,236,29,High,Achillea,millefolium,NA,lanulosa,NA,NA,0.13,1.1347699999999998
24,8,2007,236,29,High,Agropyron,repens,NA,NA,NA,NA,3.6,31.4244
24,8,2007,236,29,High,Aristida,basiramea,NA,NA,NA,NA,9.77,85.28232999999999
24,8,2007,236,29,High,Crepis,tectorum,NA,NA,NA,NA,1.43,12.482469999999998
24,8,2007,236,29,High,Cyperus,NA,NA,NA,NA,NA,0.53,4.62637
23,8,2007,235,29,High,Euphorbia,NA,NA,NA,NA,NA,0.05,0.43645
24,8,2007,236,29,High,Lespedeza,capitata,NA,NA,NA,NA,139.9,1221.1870999999999
21,8,2007,233,29,Low,Achillea,millefolium,NA,lanulosa,NA,NA,0.6,5.237399999999999
21,8,2007,233,29,Low,Agropyron,repens,NA,NA,NA,NA,1.1,9.6019
21,8,2007,233,29,Low,Aristida,basiramea,NA,NA,NA,NA,4.9,42.7721
21,8,2007,233,29,Low,Crepis,tectorum,NA,NA,NA,NA,0.87,7.59423
21,8,2007,233,29,Low,Cyperus,NA,NA,NA,NA,NA,1.53,13.355369999999999
20,8,2007,232,29,Low,Lepidium,densiflorum,NA,NA,NA,NA,0.05,0.43645
21,8,2007,233,29,Low,Lespedeza,capitata,NA,NA,NA,NA,54.67,477.21443
21,8,2007,233,29,Low,Poa,pratensis,NA,NA,NA,NA,0.07,0.61103
21,8,2007,233,29,Low,Rumex,acetosella,NA,NA,NA,NA,0.33,2.88057
21,8,2007,233,29,Low,Schizachyrium,scoparium,NA,NA,NA,NA,0.7,6.110299999999999
21,8,2007,233,64,Control,,NA,Unsorted biomass,NA,NA,NA,202.55,1768.0589499999999
20,8,2007,232,64,High,Bouteloua,gracilis,NA,NA,NA,NA,12.2,106.49379999999998
20,8,2007,232,64,High,Cyperus,NA,NA,NA,NA,NA,0.23,2.00767
20,8,2007,232,64,High,Koeleria,cristata,NA,NA,NA,NA,0.87,7.59423
20,8,2007,232,64,High,Lespedeza,capitata,NA,NA,NA,NA,52.83,461.15306999999996
20,8,2007,232,64,High,Liatris,NA,NA,NA,NA,NA,2.8,24.441199999999995
20,8,2007,232,64,High,Lupinus,perennis,NA,NA,NA,NA,50.9,444.30609999999996
20,8,2007,232,64,High,Panicum,virgatum,NA,NA,NA,NA,0.43,3.7534699999999996
20,8,2007,232,64,High,Petalostemum,purpureum,NA,NA,NA,NA,9.03,78.82286999999998
20,8,2007,232,64,High,Petalostemum,villosum,NA,NA,NA,NA,15.13,132.06977
20,8,2007,232,64,High,Poa,pratensis,NA,NA,NA,NA,0.23,2.00767
20,8,2007,232,64,High,Schizachyrium,scoparium,NA,NA,NA,NA,23.6,206.0044
