Day,Month,Year,Sample_DOY,Plot,Heat_Treatment,Species_name,Miscellaneous,Subspecies,Other,Prev_names,Mass_g_per_m2
22,8,2007,234,29,Control,,Unsorted biomass,NA,NA,NA,150.53
24,8,2007,236,29,High,Achillea millefolium ,NA,lanulosa,NA,NA,0.13
24,8,2007,236,29,High,Agropyron repens,NA,NA,NA,NA,3.6
24,8,2007,236,29,High,Aristida basiramea,NA,NA,NA,NA,9.77
24,8,2007,236,29,High,Crepis tectorum,NA,NA,NA,NA,1.43
24,8,2007,236,29,High,Cyperus sp.,NA,NA,NA,NA,0.53
23,8,2007,235,29,High,Euphorbia glyptosperma,NA,NA,NA,NA,0.05
24,8,2007,236,29,High,Lespedeza capitata,NA,NA,NA,NA,139.9
21,8,2007,233,29,Low,Achillea millefolium ,NA,lanulosa,NA,NA,0.6
21,8,2007,233,29,Low,Agropyron repens,NA,NA,NA,NA,1.1
21,8,2007,233,29,Low,Aristida basiramea,NA,NA,NA,NA,4.9
21,8,2007,233,29,Low,Crepis tectorum,NA,NA,NA,NA,0.87
21,8,2007,233,29,Low,Cyperus sp.,NA,NA,NA,NA,1.53
20,8,2007,232,29,Low,Lepidium densiflorum,NA,NA,NA,NA,0.05
21,8,2007,233,29,Low,Lespedeza capitata,NA,NA,NA,NA,54.67
21,8,2007,233,29,Low,Poa pratensis,NA,NA,NA,NA,0.07
21,8,2007,233,29,Low,Rumex acetosella,NA,NA,NA,NA,0.33
21,8,2007,233,29,Low,Schizachyrium scoparium,NA,NA,NA,NA,0.7
21,8,2007,233,64,Control,,Unsorted biomass,NA,NA,NA,202.55
20,8,2007,232,64,High,Bouteloua gracilis,NA,NA,NA,NA,12.2
20,8,2007,232,64,High,Cyperus sp.,NA,NA,NA,NA,0.23
20,8,2007,232,64,High,Koeleria cristata,NA,NA,NA,NA,0.87
20,8,2007,232,64,High,Lespedeza capitata,NA,NA,NA,NA,52.83
20,8,2007,232,64,High,Liatris aspera,NA,NA,NA,NA,2.8
20,8,2007,232,64,High,Lupinus perennis,NA,NA,NA,NA,50.9
20,8,2007,232,64,High,Panicum virgatum,NA,NA,NA,NA,0.43
20,8,2007,232,64,High,Petalostemum purpureum,NA,NA,NA,NA,9.03
20,8,2007,232,64,High,Petalostemum villosum,NA,NA,NA,NA,15.13
20,8,2007,232,64,High,Poa pratensis,NA,NA,NA,NA,0.23
20,8,2007,232,64,High,Schizachyrium scoparium,NA,NA,NA,NA,23.6
20,8,2007,232,64,High,Solidago nemoralis,NA,NA,NA,NA,32.1
20,8,2007,232,64,High,Sorghastrum nutans,NA,NA,NA,NA,5.53
20,8,2007,232,64,High,Stipa spartea,NA,NA,NA,NA,4
24,8,2007,236,64,Low,Achillea millefolium ,NA,lanulosa,NA,NA,0.83
24,8,2007,236,64,Low,Andropogon gerardi,NA,NA,NA,NA,13.93
24,8,2007,236,64,Low,Bouteloua curtipendula,NA,NA,NA,NA,0.2
